Constituent,Site Code,Constituent Abbrev,Visit Datetime,E coli bacteria,Latitude,Longitude,Result
Escherichia coli,SH2,Ecoli,8/4/2016 11:03:55 AM,All Okay,44.970339,-68.640829,5
Escherichia coli,OT1,Ecoli,8/4/2016 9:34:18 AM,All Okay,44.956496,-68.667402,2
Escherichia coli,OT2,Ecoli,8/4/2016 9:50:03 AM,All Okay,44.972751,-68.683484,5
Escherichia coli,OT2,Ecoli,6/22/2017 8:53:16 AM,All Okay,44.972751,-68.683484,34
Escherichia coli,OT1,Ecoli,6/22/2017 9:52:24 AM,All Okay,44.956496,-68.667402,35
Escherichia coli,OT2,Ecoli,8/17/2017 9:44:45 AM,All Okay,44.972751,-68.683484,8
Escherichia coli,OT3,Ecoli,8/4/2016 10:53:14 AM,All Okay,44.961127,-68.651603,1
Escherichia coli,GB3,Ecoli,9/21/2017 9:26:14 AM,All Okay,45.027618,-68.654005,12
Escherichia coli,OT3,Ecoli,9/13/2017 9:54:00 AM,All Okay,44.961127,-68.651603,15
Escherichia coli,OT2,Ecoli,7/23/2014 8:54:01 AM,All Okay,44.972751,-68.683484,5
Escherichia coli,OT3,Ecoli,7/23/2014 9:43:49 AM,All Okay,44.961127,-68.651603,11
Escherichia coli,GB2,Ecoli,6/17/2015 6:27:30 AM,All Okay,45.047625,-68.661691,21
